seqnames	start	end	width	strand	Conc	Conc_DOX	Conc_none	Fold	p.value	FDR	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol	ENTREZID
chr2	171999882	172000507	626	*	6.44	7.4	2.27	5.13	4.68e-18	3.23e-15	3077	ENSG00000115840	171784370	171999859	-	upstream	-23	23	NearestLocation	SLC25A12	8604
chr6	44246467	44248148	1682	*	7.83	8.83	-0.16	8.99	1.41e-17	9.09e-15	7053	ENSG00000096384	44246166	44253888	+	inside	301	301	NearestLocation	HSP90AB1	3326
chr10	62044341	62044835	495	*	7.78	8.77	-0.16	8.93	2.41e-17	1.46e-14	1376	ENSG00000221094	62116215	62116301	+	upstream	-71874	71380	NearestLocation	NA	NA
chr10	73243040	73244203	1164	*	6.64	7.63	0.75	6.88	2.85e-17	1.62e-14	1397	ENSG00000236756	73247360	73276984	+	upstream	-4320	3157	NearestLocation	DNAJC9-AS1	414245
chr2	70085878	70087448	1571	*	7.75	8.75	-0.16	8.91	3.07e-17	1.65e-14	2700	ENSG00000169564	70087454	70089203	+	upstream	-1576	6	NearestLocation	PCBP1	5093
chr6	18263637	18264848	1212	*	6.5	7.47	2.02	5.45	6.39e-17	3.25e-14	6909	ENSG00000124795	18223868	18264823	-	overlapStart	1186	25	NearestLocation	DEK	7913
chr2	10120509	10121182	674	*	6.33	7.29	2.15	5.13	6.98e-17	3.37e-14	2479	ENSG00000272524	10120734	10121065	+	includeFeature	-225	117	NearestLocation	NA	NA
chr15	94354744	94355916	1173	*	7.84	8.84	-0.16	9	9.94e-17	4.57e-14	2253	ENSG00000258632	94273496	94274005	+	downstream	81248	80739	NearestLocation	NA	NA
chr2_KI270715v1_random	73608	74711	1104	*	7.52	8.52	-0.16	8.68	2.2e-16	9.65e-14	3126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	23691755	23692646	892	*	6.12	7.09	1.52	5.57	2.73e-16	1.14e-13	16	ENSG00000142676	23691779	23696425	+	overlapStart	-24	24	NearestLocation	RPL11	6135
chr3	129182959	129183930	972	*	6.21	7.18	1.52	5.66	5.05e-16	2.03e-13	4238	ENSG00000169714	129169484	129183922	-	overlapStart	963	8	NearestLocation	CNBP	7555
chr13	32253886	32255879	1994	*	6.74	7.73	0.48	7.25	6.45e-16	2.49e-13	1955	ENSG00000189167	32303700	32315344	-	downstream	61458	47821	NearestLocation	ZAR1L	646799
chr1	67428783	67431335	2553	*	7.5	8.49	-0.16	8.66	7.14e-16	2.66e-13	553	ENSG00000142864	67407810	67430415	-	overlapStart	1632	920	NearestLocation	SERBP1	26135
chr2	197499327	197500956	1630	*	7.34	8.33	-0.16	8.49	8.86e-16	3.17e-13	3091	ENSG00000270757	197500413	197550726	+	overlapStart	-1086	543	NearestLocation	HSPE1-MOB4	100529241
chr17	65332668	65333537	870	*	7.31	8.31	-0.16	8.47	1.19e-15	4.11e-13	2320	ENSG00000263520	65457541	65458408	+	upstream	-124873	124004	NearestLocation	LINC02563	105827617
chr17	63773678	63774208	531	*	7.38	8.37	-0.16	8.53	2.12e-15	7.05e-13	2319	ENSG00000198231	63773603	63819317	+	inside	75	75	NearestLocation	DDX42	11325
chr3	12840832	12841882	1051	*	7.2	8.19	-0.16	8.35	4.15e-15	1.3e-12	3610	ENSG00000144713	12834485	12841588	-	overlapStart	756	294	NearestLocation	RPL32	6161
chr7	44796291	44797422	1132	*	7.2	8.2	-0.16	8.36	4.16e-15	1.3e-12	8809	ENSG00000196262	44796680	44824564	+	overlapStart	-389	389	NearestLocation	PPIA	5478
chr2	231463448	231464466	1019	*	7.12	8.12	-0.16	8.28	5.82e-15	1.76e-12	3114	ENSG00000202400	231460371	231460440	-	upstream	-3008	3008	NearestLocation	SNORD82	25826
chr10	91707429	91708700	1272	*	7.1	8.1	-0.16	8.26	6.29e-15	1.84e-12	1508	ENSG00000213449	91666780	91667782	-	upstream	-39647	39647	NearestLocation	NA	NA
chr12	75455016	75456079	1064	*	6.5	7.38	3.8	3.58	7.56e-15	2.15e-12	1896	ENSG00000139278	75480680	75503853	+	upstream	-25664	24601	NearestLocation	GLIPR1	11010
chr4	56435050	56437013	1964	*	7.16	8.16	-0.16	8.32	8.45e-15	2.33e-12	6098	ENSG00000128059	56393362	56435615	-	overlapStart	565	565	NearestLocation	PPAT	5471
chr22	28116834	28117535	702	*	7.14	8.13	-0.16	8.3	9.04e-15	2.43e-12	3489	ENSG00000239249	28056153	28056453	-	upstream	-60381	60381	NearestLocation	NA	NA
chr1_KI270709v1_random	27034	27923	890	*	7.11	8.11	-0.16	8.27	9.54e-15	2.49e-12	1262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	144508343	144508982	640	*	7.06	8.05	-0.16	8.21	1.01e-14	2.53e-12	9338	ENSG00000167700	144509074	144511213	+	upstream	-731	92	NearestLocation	MFSD3	113655
chr9	97983808	97985502	1695	*	7.08	8.08	-0.16	8.24	1.02e-14	2.53e-12	9377	ENSG00000136938	97983361	98015943	+	inside	447	447	NearestLocation	ANP32B	10541
chr5	171388027	171389130	1104	*	7.05	8.05	-0.16	8.21	1.05e-14	2.54e-12	6688	ENSG00000181163	171387116	171411137	+	inside	911	911	NearestLocation	NPM1	4869
chr5	146446691	146448142	1452	*	7.04	8.03	-0.16	8.2	1.11e-14	2.62e-12	6558	ENSG00000113649	146447311	146511961	+	overlapStart	-620	620	NearestLocation	TCERG1	10915
chr12	79727251	79727867	617	*	7.05	8.05	-0.16	8.21	1.22e-14	2.8e-12	1906	ENSG00000177425	79574979	79691097	-	upstream	-36154	36154	NearestLocation	PAWR	5074
chr16	32129805	32130460	656	*	7.03	8.02	-0.16	8.19	1.27e-14	2.86e-12	2282	ENSG00000260584	32116700	32116997	+	downstream	13105	12808	NearestLocation	NA	NA
chr22	16452579	16453211	633	*	7.09	8.08	-0.16	8.24	1.37e-14	3.01e-12	3388	ENSG00000227367	16428947	16476870	-	inside	24291	23632	NearestLocation	NA	NA
chr1	244834682	244836223	1542	*	7.06	8.05	-0.16	8.22	1.55e-14	3.34e-12	1240	ENSG00000203667	244835322	244845057	+	overlapStart	-640	640	NearestLocation	COX20	116228
chr2_KI270715v1_random	156686	157669	984	*	6.99	7.98	-0.16	8.14	1.74e-14	3.65e-12	3134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr21	34797023	34799380	2358	*	6.98	7.98	-0.16	8.14	1.91e-14	3.93e-12	3316	ENSG00000234380	34745757	34784886	+	downstream	51266	12137	NearestLocation	LINC01426	100506385
chr17	50707262	50707994	733	*	6.98	7.97	-0.16	8.13	2.26e-14	4.54e-12	2300	ENSG00000154945	50693190	50707924	-	overlapStart	662	70	NearestLocation	ANKRD40	91369
chr7	150368011	150368875	865	*	6.95	7.95	-0.16	8.11	2.7e-14	5.27e-12	9152	ENSG00000196456	150368790	150412470	+	overlapStart	-779	85	NearestLocation	ZNF775	285971
chr15	101636787	101637742	956	*	5.93	6.91	1.05	5.85	2.73e-14	5.27e-12	2270	ENSG00000252614	101648206	101648312	-	downstream	11525	10464	NearestLocation	NA	NA
chr6	73520337	73521049	713	*	6.94	7.93	-0.16	8.1	3.87e-14	7.33e-12	7907	ENSG00000229862	73523618	73570596	+	upstream	-3281	2569	NearestLocation	NA	NA
chr22	16474376	16475155	780	*	7.13	8.13	-0.16	8.29	4.19e-14	7.79e-12	3389	ENSG00000227367	16428947	16476870	-	inside	2494	1715	NearestLocation	NA	NA
chr12	116910596	116911323	728	*	6.97	7.96	-0.16	8.12	4.57e-14	8.33e-12	1919	ENSG00000174989	116910956	117031148	+	overlapStart	-360	360	NearestLocation	FBXW8	26259
chr1	23343432	23345009	1578	*	6.87	7.87	-0.16	8.03	6.71e-14	1.2e-11	15	ENSG00000125944	23303771	23344336	-	overlapStart	904	673	NearestLocation	HNRNPR	10236
chr18	24096981	24097579	599	*	6.94	7.94	-0.16	8.1	8.75e-14	1.54e-11	2432	ENSG00000265204	24076794	24099320	-	inside	2339	1741	NearestLocation	NA	NA
chr5	178204488	178205334	847	*	6.89	7.88	-0.16	8.04	8.99e-14	1.55e-11	6693	ENSG00000197451	178204507	178211180	+	overlapStart	-19	19	NearestLocation	HNRNPAB	3182
chr7	2353826	2354999	1174	*	6.78	7.78	-0.16	7.94	9.72e-14	1.65e-11	7946	ENSG00000106263	2354086	2380745	+	overlapStart	-260	260	NearestLocation	EIF3B	8662
chr2	223723548	223725259	1712	*	6.42	7.24	4.33	2.9	1.46e-13	2.43e-11	3108	ENSG00000226539	223704621	223705338	+	downstream	18927	18210	NearestLocation	NA	NA
chr2	47175990	47177364	1375	*	6.78	7.78	-0.16	7.94	1.56e-13	2.56e-11	2564	ENSG00000273269	47065941	47176511	-	overlapStart	521	521	NearestLocation	NA	NA
chr8	73292855	73293649	795	*	6.14	7.13	0.48	6.65	1.78e-13	2.87e-11	9307	ENSG00000121039	73294612	73325281	+	upstream	-1757	963	NearestLocation	RDH10	157506
chr1	77682796	77683450	655	*	6.81	7.8	-0.16	7.96	1.96e-13	3.11e-11	686	ENSG00000036549	77562416	77683419	-	overlapStart	623	31	NearestLocation	ZZZ3	26009
chr18	9950790	9951514	725	*	6.76	7.76	-0.16	7.92	2.14e-13	3.34e-11	2399	ENSG00000223138	9923920	9924021	+	downstream	26870	26769	NearestLocation	NA	NA
chr1	112955878	112957051	1174	*	6.76	7.75	-0.16	7.92	2.34e-13	3.56e-11	877	ENSG00000155380	112911847	112957013	-	overlapStart	1135	38	NearestLocation	SLC16A1	6566
chr22	16440428	16441291	864	*	6.91	7.91	-0.16	8.07	2.36e-13	3.56e-11	3387	ENSG00000229658	16423943	16426031	+	downstream	16485	14397	NearestLocation	NA	NA
chr16	32816694	32817705	1012	*	6.75	7.75	-0.16	7.91	2.42e-13	3.6e-11	2283	ENSG00000261719	32811029	32811251	-	upstream	-5443	5443	NearestLocation	NA	NA
chrX	154397770	154399229	1460	*	6.69	7.68	-0.16	7.84	2.56e-13	3.75e-11	9659	ENSG00000280195	154396878	154398816	-	overlapStart	1046	413	NearestLocation	NA	NA
chr15	39192176	39193175	1000	*	6.64	7.64	-0.16	7.8	3.02e-13	4.36e-11	2102	ENSG00000259450	39188438	39194309	-	inside	2133	1134	NearestLocation	NA	NA
chr14	60975485	60976411	927	*	6.67	7.66	-0.16	7.82	3.22e-13	4.58e-11	2005	ENSG00000206870	60974327	60974435	+	downstream	1158	1050	NearestLocation	NA	NA
chr17	63117160	63117759	600	*	6.12	7.08	2.15	4.92	3.31e-13	4.63e-11	2318	ENSG00000264513	63117019	63130947	-	inside	13787	141	NearestLocation	NA	NA
chr10	91869099	91869814	716	*	6.64	7.63	-0.16	7.79	3.69e-13	5.07e-11	1509	ENSG00000273497	91896704	91896897	+	upstream	-27605	26890	NearestLocation	NA	NA
chr19	12526899	12527732	834	*	6.62	7.62	-0.16	7.78	3.72e-13	5.07e-11	2441	ENSG00000269560	12529768	12532973	-	downstream	6074	2036	NearestLocation	NA	NA
chr9	92324932	92326023	1092	*	6.68	7.67	-0.16	7.83	3.84e-13	5.15e-11	9376	ENSG00000198000	92297358	92325636	-	overlapStart	704	387	NearestLocation	NOL8	55035
chr5	150448906	150450066	1161	*	6.63	7.62	-0.16	7.78	4.23e-13	5.6e-11	6571	ENSG00000164587	150443190	150449756	-	overlapStart	850	310	NearestLocation	RPS14	6208
chr20	30111682	30112405	724	*	6.6	7.59	-0.16	7.76	5.23e-13	6.83e-11	3204	ENSG00000204555	30214798	30214976	-	downstream	103294	102393	NearestLocation	NA	NA
chr1	40979820	40980527	708	*	6.73	7.73	-0.16	7.89	5.34e-13	6.87e-11	35	ENSG00000171793	40979335	41012565	+	inside	485	485	NearestLocation	CTPS1	1503
chr7	135557688	135558323	636	*	5.9	6.85	2.02	4.83	5.41e-13	6.88e-11	9142	ENSG00000155561	135557919	135648757	+	overlapStart	-231	231	NearestLocation	NUP205	23165
chr12	133057547	133059069	1523	*	6.74	7.73	-0.16	7.89	5.61e-13	7.02e-11	1928	ENSG00000279466	133073516	133073983	-	downstream	16436	14447	NearestLocation	NA	NA
chr1	26620581	26621302	722	*	6.57	7.56	-0.16	7.72	5.67e-13	7.02e-11	18	ENSG00000252429	26602369	26602432	-	upstream	-18149	18149	NearestLocation	NA	NA
chr3	131502351	131503241	891	*	6.06	7.01	2.39	4.62	5.78e-13	7.07e-11	4239	ENSG00000114686	131462212	131502983	-	overlapStart	632	258	NearestLocation	MRPL3	11222
chr18	22465692	22466881	1190	*	6.58	7.57	-0.16	7.73	6.39e-13	7.72e-11	2421	ENSG00000270855	22418829	22419294	-	upstream	-46398	46398	NearestLocation	NA	NA
chr11	88178560	88179451	892	*	6.63	7.62	-0.16	7.79	7.27e-13	8.68e-11	1699	ENSG00000266581	88176502	88176593	+	downstream	2058	1967	NearestLocation	MIR3166	100423040
chr12	13219941	13220601	661	*	6.58	7.58	-0.16	7.74	7.7e-13	8.98e-11	1854	ENSG00000134531	13196716	13219939	+	downstream	23225	2	NearestLocation	EMP1	2012
chr5	139293794	139294783	990	*	6.6	7.59	-0.16	7.75	7.71e-13	8.98e-11	6511	ENSG00000120725	138946720	139293557	-	upstream	-237	237	NearestLocation	SIL1	64374
chr2	43226868	43227328	461	*	6.56	7.56	-0.16	7.72	8.92e-13	1.03e-10	2548	ENSG00000279873	43227341	43228855	+	upstream	-473	13	NearestLocation	LINC01126	100129726
chr5	10250330	10251154	825	*	6.61	7.6	-0.16	7.76	9.09e-13	1.03e-10	6213	ENSG00000150753	10249921	10266412	+	inside	409	409	NearestLocation	CCT5	22948
chr17	55328062	55329055	994	*	6.59	7.58	-0.16	7.74	9.24e-13	1.04e-10	2303	ENSG00000262079	55325757	55327791	-	upstream	-271	271	NearestLocation	NA	NA
chr6	53651399	53652189	791	*	6.68	7.67	-0.16	7.83	9.34e-13	1.04e-10	7691	ENSG00000275446	53664170	53664312	+	upstream	-12771	11981	NearestLocation	NA	NA
chr7	100100310	100101117	808	*	6.54	7.54	-0.16	7.7	1.16e-12	1.27e-10	9027	ENSG00000221838	100101549	100110345	+	upstream	-1239	432	NearestLocation	AP4M1	9179
chr4	4542017	4542846	830	*	6.54	7.53	-0.16	7.69	1.21e-12	1.31e-10	6057	ENSG00000247708	4542131	4710938	+	overlapStart	-114	114	NearestLocation	STX18-AS1	100507266
chr2	241701394	241701961	568	*	6.52	7.51	-0.16	7.67	1.25e-12	1.35e-10	3121	ENSG00000168395	241702035	241729478	+	upstream	-641	74	NearestLocation	ING5	84289
chr2	183123745	183125173	1429	*	6.46	7.45	-0.16	7.61	1.46e-12	1.55e-10	3086	ENSG00000163002	183117513	183161680	+	inside	6232	6232	NearestLocation	NUP35	129401
chr1	23979787	23980301	515	*	5.82	6.8	0.75	6.05	1.53e-12	1.59e-10	17	ENSG00000188529	23964804	23980927	-	inside	1140	626	NearestLocation	SRSF10	10772
chr2	69914003	69914537	535	*	6.44	7.43	-0.16	7.59	1.54e-12	1.59e-10	2698	ENSG00000279229	69902350	69902709	-	upstream	-11294	11294	NearestLocation	NA	NA
chr3	184133742	184134342	601	*	6.44	7.43	-0.16	7.59	1.55e-12	1.59e-10	5811	ENSG00000273181	184132942	184133561	-	upstream	-181	181	NearestLocation	NA	NA
chr18	24586182	24587114	933	*	6.5	7.5	-0.16	7.66	1.79e-12	1.82e-10	2438	ENSG00000265485	24628182	24662198	+	upstream	-42000	41068	NearestLocation	LINC01915	729950
chrX	48574397	48574982	586	*	6.42	7.41	-0.16	7.57	1.82e-12	1.83e-10	9653	ENSG00000102317	48574449	48579066	+	overlapStart	-52	52	NearestLocation	RBM3	5935
chr1	92831952	92832633	682	*	6.46	7.45	-0.16	7.61	1.84e-12	1.83e-10	832	ENSG00000122406	92832025	92841924	+	overlapStart	-73	73	NearestLocation	RPL5	6125
chr5	154754457	154755631	1175	*	6.53	7.53	-0.16	7.69	1.87e-12	1.84e-10	6582	ENSG00000241187	154729231	154729694	+	downstream	25226	24763	NearestLocation	NA	NA
chr5	43120535	43121144	610	*	6.41	7.41	-0.16	7.57	2.07e-12	2.02e-10	6323	ENSG00000278487	43143362	43143514	-	downstream	22979	22218	NearestLocation	NA	NA
chr7	44122915	44123508	594	*	6.39	7.38	-0.16	7.54	2.29e-12	2.21e-10	8804	ENSG00000106628	44114681	44124358	-	inside	1443	850	NearestLocation	POLD2	5425
chr20	11457694	11458556	863	*	6.38	7.37	-0.16	7.53	2.46e-12	2.36e-10	3174	ENSG00000235544	11345383	11345855	-	upstream	-111839	111839	NearestLocation	NA	NA
chr7	26201811	26202726	916	*	6.46	7.45	-0.16	7.61	2.52e-12	2.39e-10	7947	ENSG00000122566	26189927	26201529	-	upstream	-282	282	NearestLocation	HNRNPA2B1	3181
chr1	151070461	151071065	605	*	6.45	7.44	-0.16	7.6	2.74e-12	2.57e-10	1123	ENSG00000143458	151070578	151125542	+	overlapStart	-117	117	NearestLocation	GABPB2	126626
chr15	60648960	60650389	1430	*	6.4	7.39	-0.16	7.56	2.76e-12	2.57e-10	2123	ENSG00000277413	60677109	60677272	-	downstream	28312	26720	NearestLocation	NA	NA
chr3	149971032	149971681	650	*	6.38	7.37	-0.16	7.53	3.09e-12	2.84e-10	4269	ENSG00000206199	149761105	149968385	-	upstream	-2647	2647	NearestLocation	ANKUB1	389161
chrX	154762911	154763956	1046	*	6.36	7.35	-0.16	7.51	3.2e-12	2.91e-10	9660	ENSG00000130826	154762742	154777689	+	inside	169	169	NearestLocation	DKC1	1736
chr15	87217263	87218290	1028	*	6.5	7.5	-0.16	7.66	3.28e-12	2.94e-10	2212	ENSG00000259761	87042054	87047161	+	downstream	175209	170102	NearestLocation	NA	NA
chr6	7909783	7910569	787	*	6.44	7.43	-0.16	7.6	3.29e-12	2.94e-10	6702	ENSG00000239264	7881517	7910814	-	inside	1031	245	NearestLocation	TXNDC5	81567
chr15	35284876	35285442	567	*	6.41	7.4	-0.16	7.56	3.75e-12	3.32e-10	2070	ENSG00000259710	35282596	35282980	+	downstream	2280	1896	NearestLocation	NA	NA
chr2	74834734	74835441	708	*	6.37	7.36	-0.16	7.53	4.25e-12	3.73e-10	2711	ENSG00000272711	74832655	74833987	-	upstream	-747	747	NearestLocation	NA	NA
chr12	46160200	46161770	1571	*	6.33	7.32	-0.16	7.48	4.29e-12	3.73e-10	1869	ENSG00000274591	46239106	46239473	-	downstream	79273	77336	NearestLocation	NA	NA
chr22	28130992	28131516	525	*	6.31	7.31	-0.16	7.47	4.38e-12	3.77e-10	3492	ENSG00000239249	28056153	28056453	-	upstream	-74539	74539	NearestLocation	NA	NA
chr15	94366626	94367520	895	*	5.52	6.48	1.37	5.11	4.51e-12	3.86e-10	2254	ENSG00000258632	94273496	94274005	+	downstream	93130	92621	NearestLocation	NA	NA
chr1	165827933	165829200	1268	*	6.42	7.42	-0.16	7.58	4.89e-12	4.09e-10	1134	ENSG00000143183	165724293	165827755	-	upstream	-178	178	NearestLocation	TMCO1	54499
chr5	179819190	179819681	492	*	6.3	7.3	-0.16	7.46	4.9e-12	4.09e-10	6695	ENSG00000161013	179797597	179806952	-	upstream	-12238	12238	NearestLocation	MGAT4B	11282
chr16	31665654	31666234	581	*	6.31	7.3	-0.16	7.47	4.94e-12	4.09e-10	2281	ENSG00000260631	31680847	31682101	+	upstream	-15193	14613	NearestLocation	NA	NA
chr10	114713728	114714636	909	*	6.37	7.36	-0.16	7.52	4.96e-12	4.09e-10	1548	ENSG00000228169	114690143	114690634	-	upstream	-23094	23094	NearestLocation	NA	NA
chr12	75489251	75490460	1210	*	6.35	7.34	-0.16	7.5	5.11e-12	4.19e-10	1900	ENSG00000257497	75483454	75489820	-	overlapStart	569	569	NearestLocation	NA	NA
chr18	22843134	22844319	1186	*	6.28	7.27	-0.16	7.43	5.88e-12	4.77e-10	2423	ENSG00000273232	22882825	22883357	-	downstream	40223	38506	NearestLocation	NA	NA
chr2	241314594	241315640	1047	*	6.29	7.28	-0.16	7.44	5.93e-12	4.77e-10	3119	ENSG00000168385	241315100	241354027	+	overlapStart	-506	506	NearestLocation	SEPTIN2	4735
chr5	134003654	134004519	866	*	6.28	7.27	-0.16	7.44	7.08e-12	5.65e-10	6489	ENSG00000213585	133971915	134005133	-	inside	1479	614	NearestLocation	VDAC1	7416
chr2	202265783	202266532	750	*	6.27	7.26	-0.16	7.42	7.71e-12	6.11e-10	3093	ENSG00000055044	202265716	202303666	+	inside	67	67	NearestLocation	NOP58	51602
chr1	230868687	230869304	618	*	6.28	7.27	-0.16	7.43	1.1e-11	8.61e-10	1192	ENSG00000119280	230837119	230869589	-	inside	902	285	NearestLocation	C1orf198	84886
chr1	211258825	211259344	520	*	6.18	7.17	-0.16	7.33	1.35e-11	1.05e-09	1138	ENSG00000117625	211258377	211316385	+	inside	448	448	NearestLocation	RCOR3	55758
chr1	109100216	109100734	519	*	6.21	7.2	-0.16	7.36	1.36e-11	1.05e-09	871	ENSG00000278249	109100193	109100612	+	overlapEnd	23	23	NearestLocation	SCARNA2	677766
chr1	109100216	109100734	519	*	6.21	7.2	-0.16	7.36	1.36e-11	1.05e-09	871	ENSG00000270066	109100193	109100619	+	overlapEnd	23	23	NearestLocation	NA	NA
chr3	125212349	125212996	648	*	6.33	7.32	-0.16	7.48	1.46e-11	1.12e-09	4235	ENSG00000221955	125082636	125212864	-	overlapStart	515	132	NearestLocation	SLC12A8	84561
chr11	54417588	54419063	1476	*	6.15	7.14	-0.16	7.3	1.52e-11	1.15e-09	1621	ENSG00000237610	54591480	54592409	+	upstream	-173892	172417	NearestLocation	NA	NA
chr18	24053602	24054776	1175	*	6.25	7.24	-0.16	7.4	1.58e-11	1.19e-09	2431	ENSG00000264745	23994213	24015339	-	upstream	-38263	38263	NearestLocation	TTC39C-AS1	102724246
chr19	17932551	17933058	508	*	6.13	7.12	-0.16	7.29	1.71e-11	1.28e-09	2443	ENSG00000007080	17933016	17943991	+	overlapStart	-465	42	NearestLocation	CCDC124	115098
chr1_KI270709v1_random	14959	17288	2330	*	6.19	7.18	-0.16	7.34	1.83e-11	1.36e-09	1260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	61212846	61214776	1931	*	6.12	7.11	-0.16	7.27	1.9e-11	1.4e-09	2009	ENSG00000027075	61187559	61550976	+	inside	25287	25287	NearestLocation	PRKCH	5583
chr2	191678499	191679156	658	*	6.12	7.11	-0.16	7.27	1.98e-11	1.45e-09	3088	ENSG00000173559	191678068	191696659	+	inside	431	431	NearestLocation	NABP1	64859
chr9	83979266	83980175	910	*	6.18	7.17	-0.16	7.33	2.15e-11	1.56e-09	9375	ENSG00000165119	83968083	83980616	-	inside	1350	441	NearestLocation	HNRNPK	3190
chr7	76358244	76358927	684	*	6.18	7.17	-0.16	7.33	2.49e-11	1.78e-09	8842	ENSG00000170027	76326794	76359031	-	inside	787	104	NearestLocation	YWHAG	7532
chr3	3126995	3127641	647	*	6.2	7.19	-0.16	7.35	2.5e-11	1.78e-09	3581	ENSG00000072756	3126916	3150879	+	inside	79	79	NearestLocation	TRNT1	51095
chr9	132669536	132670902	1367	*	6.22	7.21	-0.16	7.38	2.5e-11	1.78e-09	9517	ENSG00000125484	132670035	132694955	+	overlapStart	-499	499	NearestLocation	GTF3C4	9329
chr3	47781175	47781877	703	*	6.22	7.21	-0.16	7.37	2.75e-11	1.94e-09	3613	ENSG00000173473	47585272	47782106	-	inside	931	229	NearestLocation	SMARCC1	6599
chr22	28138589	28139176	588	*	6.12	7.11	-0.16	7.28	2.84e-11	1.99e-09	3494	ENSG00000279802	28220486	28232600	+	upstream	-81897	81310	NearestLocation	NA	NA
chr7	100889101	100889687	587	*	6.09	7.08	-0.16	7.24	2.89e-11	2.01e-09	9028	ENSG00000176125	100888723	100889718	-	inside	617	31	NearestLocation	UFSP1	402682
chr5	154937176	154937865	690	*	5.51	6.49	0.75	5.74	3.02e-11	2.08e-09	6583	ENSG00000082516	154887416	154938209	-	inside	1033	344	NearestLocation	GEMIN5	25929
chr3	119468607	119469151	545	*	6.07	7.06	-0.16	7.22	3.07e-11	2.1e-09	4166	ENSG00000163389	119468938	119494708	+	overlapStart	-331	213	NearestLocation	POGLUT1	56983
chr15	38886461	38887427	967	*	6.1	7.09	-0.16	7.25	3.27e-11	2.22e-09	2094	ENSG00000274281	38851306	38853432	-	upstream	-33029	33029	NearestLocation	NA	NA
chr2	216498862	216499382	521	*	5.59	6.53	2.02	4.51	3.34e-11	2.26e-09	3100	ENSG00000232485	216479030	216498761	-	upstream	-101	101	NearestLocation	NA	NA
chr3	168096096	168096657	562	*	6.04	7.03	-0.16	7.19	3.56e-11	2.39e-09	4279	ENSG00000173905	168008677	168095975	-	upstream	-121	121	NearestLocation	GOLIM4	27333
chr12	9637531	9638232	702	*	6.12	7.11	-0.16	7.27	3.74e-11	2.49e-09	1844	ENSG00000233719	9641802	9643007	+	upstream	-4271	3570	NearestLocation	NA	NA
chr9	136727964	136728687	724	*	6.07	7.06	-0.16	7.22	3.79e-11	2.51e-09	9518	ENSG00000233016	136721366	136728184	-	overlapStart	220	220	NearestLocation	SNHG7	84973
